VIDEO ID,TEXT PROMPTS,URL
1,"A stylish woman walks down a Tokyo street filled with warm glowing neon and animated city signage. She wears a black leather jacket, a long red dress, and black boots, and carries a black purse. She wears sunglasses and red lipstick. She walks confidently and casually. The street is damp and reflective, creating a mirror effect of the colorful lights. Many pedestrians walk about.",https://player.vimeo.com/video/913132493?h=efc0bcf645 
2,"Drone view of waves crashing against the rugged cliffs along Big Surface garay point beach. The crashing blue waters create white-tipped waves, while the golden light of the setting sun illuminates the rocky shore. A small island with a lighthouse sits in the distance, and green shrubbery covers the cliff edge. The steep drop from the road down to the beach is a dramatic feat, with the cliff edges jutting out over the sea. This is a view that captures the raw beauty of the coast and the rugged landscape of the Pacific Coast Highway.",https://player.vimeo.com/video/913130791?h=756109176e
3,"A young man at his 20s is sitting on a piece of cloud in the sky, reading a book.",https://player.vimeo.com/video/913332584?h=906fb61127
4,"3D animation of a small, round, fluffy creature with big, expressive eyes explores a vibrant, enchanted forest. The creature, a whimsical blend of a rabbit and a squirrel, has soft blue fur and a bushy, striped tail. It hops along a sparkling stream, its eyes wide with wonder. The forest is alive with magical elements: flowers that glow and change colors, trees with leaves in shades of purple and silver, and small floating lights that resemble fireflies. The creature stops to interact playfully with a group of tiny, fairy-like beings dancing around a mushroom ring. The creature looks up in awe at a large, glowing tree that seems to be the heart of the forest.",https://player.vimeo.com/video/913130719?h=acef4c703f
5,A Chinese Lunar New Year celebration video with Chinese Dragon.,https://player.vimeo.com/video/913337930?h=28c257b7c6
6,Reflections in the window of a train traveling through the Tokyo suburbs.,https://player.vimeo.com/video/913132696?h=e459e90255
7,Photorealistic closeup video of two pirate ships battling each other as they sail inside a cup of coffee.,https://player.vimeo.com/video/913132460?h=32b3607b5d
8,A cartoon kangaroo disco dances.,https://player.vimeo.com/video/913131356?h=0d49a63852
9,"A gorgeously rendered papercraft world of a coral reef, rife with colorful fish and sea creatures.",https://player.vimeo.com/video/913132007?h=929feaa15b
10,"The camera follows behind a white vintage SUV with a black roof rack as it speeds up a steep dirt road surrounded by pine trees on a steep mountain slope, dust kicks up from its tires, the sunlight shines on the SUV as it speeds along the dirt road, casting a warm glow over the scene. The dirt road curves gently into the distance, with no other cars or vehicles in sight. The trees on either side of the road are redwoods, with patches of greenery scattered throughout. The car is seen from the rear following the curve with ease, making it seem as if it is on a rugged drive through the rugged terrain. The dirt road itself is surrounded by steep hills and mountains, with a clear blue sky above with wispy clouds.",https://player.vimeo.com/video/913132493?h=efc0bcf645
11,The story of a robots life in a cyberpunk setting.,https://player.vimeo.com/video/913151703?h=7fe8ce1c4f
12,"A flock of paper airplanes flutters through a dense jungle, weaving around trees as if they were migrating birds.",https://player.vimeo.com/video/913132178?h=33ca85df98
13,Tour of an art gallery with many beautiful works of art in different styles.,https://player.vimeo.com/video/913130624?h=9b963f52eb
14,A stop motion animation of a flower growing out of the windowsill of a suburban house.,https://player.vimeo.com/video/913131708?h=7faf36120c
15,A corgi vlogging itself in tropical Maui seed,https://player.vimeo.com/video/913353726?h=34bf928f3d
16,"A beautiful homemade video showing the people of Lagos, Nigeria in the year 2056. Shot with a mobile phone camera.",https://player.vimeo.com/video/913354385?h=fdfad3a5b0
17,Borneo wildlife on the Kinabatangan River.,https://player.vimeo.com/video/913130937?h=469b1c8a45
18,"Tiltshift of a construction site filled with workers, equipment, and heavy machinery.",https://player.vimeo.com/video/913132659?h=908004b579
19,Basketball through hoop then explodes.Prompt: Basketball through hoop then explodes.,https://player.vimeo.com/video/913350974?h=225e665713
20,"A movie trailer featuring the adventures of the 30 year old space man wearing a red wool knitted motorcycle helmet, blue sky, salt desert, cinematic style, shot on 35mm film, vivid colors.",https://player.vimeo.com/video/913131882?h=2c4862db94
21,A man wearing a blue jacket walking along the roadside while it is raining.,Created by us
22,Purple flower with yellow and a small bug moving from one flower to another.,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10103686
23,A fisheye lens view of  a turtle sitting in a forest.,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10103686
24,DC character the flash running while electricity surrounds him.,Created by us
25,A child wearing a red shirt playing on the street with a football.,Created by us
26,A high mountain covered with clouds as the sun sets.,Created by us
27,A lizard on a tree in search of a prey looking around.,Created by us
28,In the afternoon in january in New England a man stands in the shadow of maple tree talking on the phone.,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10103686
29,A train in london subway passing through the suburbs.,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10103686
30,A man operating a space shuttle with a view of earth from the window.,Created by us
